id;title;due_date;description
1;Gorgeous Granite array;calculating withdrawal and;North pink open-source
2;analyzer Electronics York;neural-net;Planner
3;Sleek Frozen;Fantastic Account Car;Via
4;Internal;Dynamic;fault-tolerant hack object-oriented
5;compressing Cotton Cambridgeshire;Barbados Shoes Garden;Soft Steel
6;Bedfordshire;Communications FTP;payment
7;cohesive Steel coherent;Director;niches
8;Steel Home intranet;Money repurpose Pizza;channels teal
9;Shoes;Vanuatu ROI;Computers Rubber
10;Response;Technician;(the
