id;start_date;end_date;status;renewal_date
1;Designer Licensed Plastic;Mobility;service-desk upward-trending task-force;invoice relationships Sheqel
2;Shirt;Buckinghamshire;Massachusetts Accountability Interactions;GB Cotton dot-com
3;Pre-emptive Branding El;Plastic;Orchestrator Car firewall;convergence
4;parsing disintermediate FTP;deposit;dedicated Berkshire cultivate;Administrator
5;Architect;invoice Program;Concrete Re-contextualized;payment redundant
6;methodologies;teal;Liaison;Tasty matrix
7;Awesome;port payment overriding;Computer overriding;Gloves protocol
8;Rubber capability;Licensed Account;Corporate Bedfordshire Peso;Landing circuit
9;Sausages Avon Washington;connect Handcrafted Intelligent;Computers projection Outdoors;Square invoice USB
10;Industrial;calculate compressing;Handmade;challenge calculating
