id;text;answer_options;correct_answer;points
1;Brand;Kiribati Cambridgeshire incremental;withdrawal Glen Plastic;60078
2;Ridge;protocol Profit-focused;Dollar monetize Future;50169
3;Mouse Avon well-modulated;online Response;withdrawal utilize;7431
4;networks Market;open-source Representative Awesome;index;42203
5;best-of-breed;orchid Cheese Synergized;York;66912
6;Executive payment;payment metrics Electronics;Nigeria asynchronous Dam;69981
7;context-sensitive yellow Turnpike;Soap;compress;10542
8;experiences zero reintermediate;Bike system Riyal;loyalty;13515
9;collaborative transmitting Bedfordshire;sensor;Clothing Strategist Kip;6283
10;Crossing;indexing;Euro Direct;86745
